date, pm25, pm10, o3, no2, so2, co
2016/12/30, 98, , , 20, , 
2016/12/31, 99, , , 17, , 
2017/1/1, 79, , , 14, , 
2016/7/1, 18, , , 2, , 
2016/7/2, 16, , , 7, , 
2016/7/3, 19, , , 7, , 
2016/7/4, 25, , , 8, , 
2016/7/5, 36, , , 6, , 
2016/7/6, 35, , , 10, , 
2016/7/7, 43, , , 13, , 
2016/7/8, 50, , , 4, , 
2016/7/9, 18, , , 10, , 
2016/7/10, 37, , , 2, , 
2016/7/11, 14, , , 5, , 
2016/7/12, 15, , , 5, , 
2016/7/13, 18, , , 4, , 
2016/7/14, 28, , , 6, , 
2016/7/15, 30, , , 5, , 
2016/7/16, 27, , , 3, , 
2016/7/17, 18, , , 5, , 
2016/7/18, 8, , , 11, , 
2016/7/19, 13, , , 15, , 
2016/7/20, 31, , , 6, , 
2016/7/21, 35, , , 4, , 
2016/7/22, 22, , , 3, , 
2016/7/23, 23, , , 3, , 
2016/7/24, 15, , , 6, , 
2016/7/25, 16, , , 3, , 
2016/7/26, 21, , , 6, , 
2016/7/27, 27, , , 3, , 
2016/7/28, 16, , , 4, , 
2016/7/29, 9, , , 5, , 
2016/7/30, 9, , , 4, , 
2016/7/31, 17, , , 8, , 
2016/8/1, 25, , , 5, , 
2016/8/2, 23, , , 6, , 
2016/8/3, 15, , , 4, , 
2016/8/4, 13, , , 4, , 
2016/8/5, 23, , , 5, , 
2016/8/6, 35, , , 5, , 
2016/8/7, 22, , , 2, , 
2016/8/8, 26, , , 3, , 
2016/8/9, 25, , , 5, , 
2016/8/10, 35, , , 7, , 
2016/8/11, 35, , , 4, , 
2016/8/12, 36, , , 6, , 
2016/8/13, 35, , , 4, , 
2016/8/14, 24, , , 4, , 
2016/8/15, 39, , , 4, , 
2016/8/16, 46, , , 6, , 
2016/8/17, 49, , , 12, , 
2016/8/18, 44, , , 9, , 
2016/8/19, 34, , , 4, , 
2016/8/20, 16, , , 2, , 
2016/8/21, 19, , , 7, , 
2016/8/22, 22, , , 15, , 
2016/8/23, 26, , , 12, , 
2016/8/24, 17, , , 19, , 
2016/8/25, 40, , , 17, , 
2016/8/26, 63, , , 8, , 
2016/8/27, 75, , , 10, , 
2016/8/28, 45, , , 3, , 
2016/8/29, 26, , , 6, , 
2016/8/30, 36, , , 9, , 
2016/8/31, 43, , , 6, , 
2016/9/1, 28, , , 10, , 
2016/9/2, 39, , , 8, , 
2016/9/3, 34, , , 7, , 
2016/9/4, 31, , , 13, , 
2016/9/5, 33, , , 8, , 
2016/9/6, 35, , , 11, , 
2016/9/7, 36, , , 12, , 
2016/9/8, 47, , , 14, , 
2016/9/9, 40, , , 14, , 
2016/9/10, 40, , , 8, , 
2016/9/11, 36, , , 16, , 
2016/9/12, 42, , , 18, , 
2016/9/13, 53, , , 11, , 
2016/9/14, 44, , , 11, , 
2016/9/15, 34, , , 12, , 
2016/9/16, 30, , , 3, , 
2016/9/17, 21, , , 5, , 
2016/9/18, 39, , , 6, , 
2016/9/19, 45, , , 8, , 
2016/9/20, 39, , , 18, , 
2016/9/21, 57, , , 22, , 
2016/9/22, 63, , , 18, , 
2016/9/23, 54, , , 15, , 
2016/9/24, 52, , , 12, , 
2016/9/25, 43, , , 14, , 
2016/9/26, 40, , , 17, , 
2016/9/27, 42, , , 18, , 
2016/9/28, 43, , , 10, , 
2016/9/29, 27, , , 12, , 
2016/9/30, 41, , , 11, , 
2016/4/1, 74, , , 19, , 
2016/4/2, 71, , , 13, , 
2016/4/3, 57, , , 10, , 
2016/4/4, 27, , , 13, , 
2016/4/5, 40, , , 8, , 
2016/4/6, 34, , , 6, , 
2016/4/7, 24, , , 11, , 
2016/4/8, 36, , , 18, , 
2016/4/9, 54, , , 10, , 
2016/4/10, 39, , , 17, , 
2016/4/11, 38, , , 21, , 
2016/4/12, 42, , , 14, , 
2016/4/13, 35, , , 16, , 
2016/4/14, 44, , , 9, , 
2016/4/15, 23, , , 5, , 
2016/4/16, 30, , , 3, , 
2016/4/17, 32, , , 9, , 
2016/4/18, 38, , , 11, , 
2016/4/19, 46, , , 8, , 
2016/4/20, 57, , , 13, , 
2016/4/21, 44, , , 13, , 
2016/4/22, 77, , , 6, , 
2016/4/23, 58, , , 6, , 
2016/4/24, 33, , , 10, , 
2016/4/25, 40, , , 7, , 
2016/4/26, 24, , , 10, , 
2016/4/27, 32, , , 9, , 
2016/4/28, 37, , , 11, , 
2016/4/29, 27, , , 6, , 
2016/4/30, 27, , , 4, , 
2016/5/1, 42, , , 9, , 
2016/5/2, 29, , , 5, , 
2016/5/3, 30, , , 9, , 
2016/5/4, 34, , , 9, , 
2016/5/5, 46, , , 14, , 
2016/5/6, 39, , , 15, , 
2016/5/7, 46, , , 8, , 
2016/5/8, 42, , , 8, , 
2016/5/9, 37, , , 14, , 
2016/5/10, 35, , , 18, , 
2016/5/11, 46, , , 10, , 
2016/5/12, 36, , , 6, , 
2016/5/13, 113, , , 2, , 
2016/5/14, 48, , , 5, , 
2016/5/15, 42, , , 10, , 
2016/5/16, 57, , , 11, , 
2016/5/17, 56, , , 14, , 
2016/5/18, 42, , , 6, , 
2016/5/19, 33, , , 16, , 
2016/5/20, 38, , , 11, , 
2016/5/21, 40, , , 10, , 
2016/5/22, 37, , , 6, , 
2016/5/23, 27, , , 6, , 
2016/5/24, 38, , , 8, , 
2016/5/25, 48, , , 10, , 
2016/5/26, 57, , , 9, , 
2016/5/27, 68, , , 10, , 
2016/5/28, 58, , , 5, , 
2016/5/30, 19, , , 5, , 
2016/5/31, 18, , , 5, , 
2016/6/1, 55, , , 3, , 
2016/6/2, 35, , , 4, , 
2016/6/3, 29, , , 3, , 
2016/6/4, 50, , , 3, , 
2016/6/5, 71, , , 9, , 
2016/6/6, 72, , , 9, , 
2016/6/7, 59, , , 6, , 
2016/6/8, 75, , , 6, , 
2016/6/9, 65, , , 14, , 
2016/6/10, 52, , , 11, , 
2016/6/11, 41, , , 8, , 
2016/6/12, 44, , , 5, , 
2016/6/13, 29, , , 5, , 
2016/6/14, 20, , , 6, , 
2016/6/15, 23, , , 15, , 
2016/6/16, 27, , , 10, , 
2016/6/17, 28, , , 5, , 
2016/6/18, 41, , , 4, , 
2016/6/19, 35, , 10, 13, , 
2016/6/20, 30, , 10, 7, , 
2016/6/21, 10, , 17, 11, , 
2016/6/22, 22, , 43, 10, 1, 
2016/6/23, 22, , 32, 3, , 
2016/6/24, 23, , 28, 2, , 
2016/6/25, 28, , 17, 4, , 
2016/6/26, 33, , , 7, , 
2016/6/27, 26, , , 8, , 
2016/6/28, 32, , , 4, , 
2016/6/29, 14, , , 7, , 
2016/6/30, 28, , , 6, , 
2016/1/4, 33, , , 13, , 
2016/1/5, 34, , , 13, , 
2016/1/6, 34, , , 11, , 
2016/1/7, 35, , , 23, , 
2016/1/8, 56, , , 18, , 
2016/1/9, 45, , , 10, , 
2016/1/10, 30, , , 15, , 
2016/1/11, 25, , , 7, , 
2016/1/12, 22, , , 12, , 
2016/1/13, 37, , , 17, , 
2016/1/14, 39, , , 8, , 
2016/1/15, 29, , , 13, , 
2016/1/16, 51, , , 18, , 
2016/1/17, 74, , , 18, , 
2016/1/18, 59, , , 17, , 
2016/1/19, 93, , , 22, , 
2016/1/20, 121, , , 27, , 
2016/1/21, 135, , , 26, , 
2016/1/22, 95, , , 18, , 
2016/1/23, 55, , , 20, , 
2016/1/24, 70, , , 22, , 
2016/1/25, 69, , , 21, , 
2016/1/26, 61, , , 10, , 
2016/1/27, 36, , , 14, , 
2016/1/28, 42, , , 23, , 
2016/1/29, 51, , , 7, , 
2016/1/30, 22, , , 9, , 
2016/1/31, 24, , , 7, , 
2016/2/1, 32, , , 10, , 
2016/2/2, 28, , , 8, , 
2016/2/3, 33, , , 13, , 
2016/2/4, 36, , , 13, , 
2016/2/5, 32, , , 14, , 
2016/2/6, 50, , , 5, , 
2016/2/7, 30, , , 4, , 
2016/2/8, 28, , , 7, , 
2016/2/9, 31, , , 6, , 
2016/2/10, 21, , , 15, , 
2016/2/11, 37, , , 15, , 
2016/2/12, 41, , , 17, , 
2016/2/13, 45, , , 6, , 
2016/2/14, 38, , , 4, , 
2016/2/15, 34, , , 11, , 
2016/2/16, 43, , , 25, , 
2016/2/17, 81, , , 25, , 
2016/2/18, 80, , , 20, , 
2016/2/19, 50, , , 9, , 
2016/2/20, 30, , , 5, , 
2016/2/21, 19, , , 9, , 
2016/2/22, 33, , , 7, , 
2016/2/23, 23, , , 20, , 
2016/2/24, 58, , , 14, , 
2016/2/25, 72, , , 26, , 
2016/2/26, 95, , , 10, , 
2016/2/27, 77, , , 7, , 
2016/2/28, 81, , , 8, , 
2016/2/29, 65, , , 20, , 
2016/3/1, 66, , , 6, , 
2016/3/2, 29, , , 9, , 
2016/3/3, 35, , , 15, , 
2016/3/4, 36, , , 9, , 
2016/3/5, 37, , , 5, , 
2016/3/6, 40, , , 9, , 
2016/3/7, 41, , , 12, , 
2016/3/8, 48, , , 15, , 
2016/3/9, 46, , , 13, , 
2016/3/10, 55, , , 10, , 
2016/3/11, 109, , , 10, , 
2016/3/12, 116, , , 9, , 
2016/3/13, 98, , , 10, , 
2016/3/14, 76, , , 13, , 
2016/3/15, 85, , , 10, , 
2016/3/16, 84, , , 10, , 
2016/3/17, 84, , , 13, , 
2016/3/18, 136, , , 6, , 
2016/3/19, 66, , , 5, , 
2016/3/20, 66, , , 8, , 
2016/3/21, 49, , , 10, , 
2016/3/22, 61, , , 8, , 
2016/3/23, 61, , , 11, , 
2016/3/24, 81, , , 13, , 
2016/3/25, 58, , , 14, , 
2016/3/26, 43, , , 5, , 
2016/3/27, 23, , , 4, , 
2016/3/28, 21, , , 11, , 
2016/3/29, 27, , , 12, , 
2016/3/30, 28, , , 7, , 
2016/3/31, 37, , , 8, , 
2015/10/1, 42, , , 13, , 
2015/10/2, 50, , , 17, , 
2015/10/3, 71, , , 14, , 
2015/10/4, 76, , , 16, , 
2015/10/5, 42, , , 12, , 
2015/10/6, 44, , , 7, , 
2015/10/7, 28, , , 10, , 
2015/10/8, 30, , , 11, , 
2015/10/9, 48, , , 9, , 
2015/10/10, 61, , , 7, , 
2015/10/11, 77, , , 12, , 
2015/10/12, 82, , , 11, , 
2015/10/13, 79, , , 13, , 
2015/10/14, 78, , , 13, , 
2015/10/15, 64, , , 19, , 
2015/10/16, 89, , , 13, , 
2015/10/17, 63, , , 10, , 
2015/10/18, 57, , , 13, , 
2015/10/19, 80, , , 14, , 
2015/10/20, 81, , , 16, , 
2015/10/21, 50, , , 11, , 
2015/10/22, 32, , , 20, , 
2015/10/23, 39, , , 14, , 
2015/10/24, 52, , , 8, , 
2015/10/25, 44, , , 15, , 
2015/10/26, 57, , , 19, , 
2015/10/27, 59, , , 21, , 
2015/10/28, 43, , , 22, , 
2015/10/29, 48, , , 16, , 
2015/10/30, 51, , , 12, , 
2015/10/31, 66, , , 15, , 
2015/11/1, 71, , , 15, , 
2015/11/2, 60, , , 20, , 
2015/11/3, 51, , , 19, , 
2015/11/4, 40, , , 21, , 
2015/11/5, 52, , , 13, , 
2015/11/6, 27, , , 13, , 
2015/11/7, 38, , , 11, , 
2015/11/8, 43, , , 8, , 
2015/11/9, 39, , , 21, , 
2015/11/10, 50, , , 17, , 
2015/11/11, 63, , , 23, , 
2015/11/12, 74, , , 10, , 
2015/11/13, 46, , , 9, , 
2015/11/14, 37, , , 7, , 
2015/11/15, 37, , , 9, , 
2015/11/16, 39, , , 7, , 
2015/11/17, 21, , , 8, , 
2015/11/18, 42, , , 10, , 
2015/11/19, 28, , , 10, , 
2015/11/20, 26, , , 4, , 
2015/11/21, 24, , , 8, , 
2015/11/22, 38, , , 19, , 
2015/11/23, 70, , , 22, , 
2015/11/24, 52, , , 11, , 
2015/11/25, 30, , , 18, , 
2015/11/26, 60, , , 23, , 
2015/11/27, 84, , , 9, , 
2015/11/28, 33, , , 4, , 
2015/11/29, 37, , , 5, , 
2015/11/30, 22, , , 12, , 
2015/12/1, 34, , , 25, , 
2015/12/2, 42, , , 27, , 
2015/12/3, 64, , , 18, , 
2015/12/4, 50, , , 20, , 
2015/12/5, 55, , , 15, , 
2015/12/6, 64, , , 25, , 
2015/12/7, 67, , , 24, , 
2015/12/8, 56, , , 22, , 
2015/12/9, 51, , , 21, , 
2015/12/10, 53, , , 21, , 
2015/12/11, 49, , , 14, , 
2015/12/12, 38, , , 16, , 
2015/12/13, 59, , , 18, , 
2015/12/14, 81, , , 23, , 
