date, pm25, pm10, o3, no2, so2, co
2019/4/18, 61, 22, , , , 
2019/4/19, 50, 15, , , , 
2019/4/20, 34, 12, , , , 
2019/4/21, 30, 11, , , , 
2019/4/22, 25, 13, , , , 
2019/4/23, 30, 22, , , , 
2019/4/24, 42, 16, , , , 
2019/4/25, 36, 9, , , , 
2019/4/26, 21, 11, , , , 
2019/4/27, 29, 13, , , , 
2019/4/28, 34, 10, , , , 
2019/4/29, 30, 10, , , , 
2019/4/30, 21, 10, , , , 
2019/5/1, 21, , , , , 
2019/5/5, 25, 10, , , , 
2019/5/6, 27, 6, , , , 
2019/5/7, 13, 10, , , , 
2019/5/8, 25, 15, , , , 
2019/5/9, 38, 10, , , , 
2019/5/10, 21, 11, , , , 
2019/5/11, 17, 6, , , , 
2019/5/12, 13, 6, , , , 
2019/5/13, 13, 10, , , , 
2019/5/14, 17, 10, , , , 
2019/5/15, 17, 14, , , , 
2019/5/16, 30, 12, , , , 
2019/5/17, 25, 11, , , , 
2019/5/18, 27, 7, , , , 
2019/5/19, 17, 6, , , , 
2019/5/20, 17, 7, , , , 
2019/5/21, 15, 7, , , , 
2019/5/22, 15, 8, , , , 
2019/5/23, 13, 10, , , , 
2019/5/24, 15, 8, , , , 
2019/5/25, 17, 5, , , , 
2019/5/26, 11, 6, , , , 
2019/5/27, 13, 9, , , , 
2019/5/28, 21, 7, , , , 
2019/5/29, 11, 9, , , , 
2019/5/30, 17, 10, , , , 
2019/5/31, 21, , , , , 
2019/6/2, 13, 10, , , , 
2019/6/3, 21, 14, , , , 
2019/6/4, 34, , , , , 
2019/6/11, 17, 6, , , , 
2019/6/12, 9, 8, , , , 
2019/6/13, 11, 7, , , , 
2019/6/14, 13, , , , , 
2019/6/20, 17, 10, , , , 
2019/6/21, 13, 10, , , , 
2019/6/22, 17, 8, , , , 
2019/6/23, 13, 15, , , , 
2019/6/24, 25, 12, , , , 
2019/6/25, 21, 11, , , , 
2019/6/26, 17, 12, , , , 
2019/6/27, 21, 18, , , , 
2019/6/28, 25, 26, , , , 
2019/6/29, 40, 18, , , , 
2019/6/30, 30, 9, , , , 
2019/1/1, 15, 14, , , , 
2019/1/2, 27, , , , , 
2019/1/4, 25, 17, , , , 
2019/1/5, 36, 13, , , , 
2019/1/6, 27, 21, , , , 
2019/1/7, 36, 16, , , , 
2019/1/8, 30, 24, , , , 
2019/1/9, 55, 13, , , , 
2019/1/10, 32, 18, , , , 
2019/1/11, 40, 13, , , , 
2019/1/12, 27, 7, , , , 
2019/1/13, 13, 10, , , , 
2019/1/14, 25, 18, , , , 
2019/1/15, 38, 9, , , , 
2019/1/16, 15, 7, , , , 
2019/1/17, 15, 11, , , , 
2019/1/18, 21, 18, , , , 
2019/1/19, 36, 15, , , , 
2019/1/20, 34, 13, , , , 
2019/1/21, 32, 15, , , , 
2019/1/22, 36, 10, , , , 
2019/1/23, 21, 9, , , , 
2019/1/24, 19, 14, , , , 
2019/1/25, 34, 10, , , , 
2019/1/26, 23, 9, , , , 
2019/1/27, 21, 14, , , , 
2019/1/28, 34, 12, , , , 
2019/1/29, 23, 10, , , , 
2019/1/30, 17, 11, , , , 
2019/1/31, 25, 12, , , , 
2019/2/1, 29, 9, , , , 
2019/2/2, 19, 10, , , , 
2019/2/3, 17, 11, , , , 
2019/2/4, 23, 10, , , , 
2019/2/5, 19, 7, , , , 
2019/2/6, 15, 14, , , , 
2019/2/7, 32, 11, , , , 
2019/2/8, 30, 17, , , , 
2019/2/9, 46, 16, , , , 
2019/2/10, 42, 6, , , , 
2019/2/11, 15, 10, , , , 
2019/2/12, 17, 18, , , , 
2019/2/13, 39, 17, , , , 
2019/2/14, 38, 17, , , , 
2019/2/15, 32, 18, , , , 
2019/2/16, 38, 25, , , , 
2019/2/17, 53, 32, , , , 
2019/2/18, 55, 18, , , , 
2019/2/19, 44, 20, , , , 
2019/2/20, 42, 17, , , , 
2019/2/21, 36, 20, , , , 
2019/2/22, 42, 18, , , , 
2019/2/23, 36, 16, , , , 
2019/2/24, 36, 20, , , , 
