date, pm25, pm10, o3, no2, so2, co
2019/10/3, 54, 18, 37, 13, 1, 3
2019/10/4, 37, 10, 43, 11, 4, 3
2019/10/5, 25, 9, 26, 4, 1, 2
2019/10/6, 7, 9, 28, 7, 1, 3
2019/10/7, 19, 13, 26, 13, 1, 3
2019/10/8, 29, 8, 35, 7, 2, 2
2019/10/9, 21, 13, 33, 11, 1, 2
2019/10/10, 33, 16, 26, 12, , 3
2019/10/11, 29, 18, 18, 3, , 1
2019/10/12, 15, 6, 29, 3, 1, 1
2019/10/13, 10, 15, 22, 7, 1, 2
2019/10/14, 34, 9, 28, 9, 1, 2
2019/10/15, 19, 10, 25, 8, 1, 2
2019/10/16, 25, 14, 21, 13, 1, 3
2019/10/17, 34, 14, 24, 11, 1, 2
2019/10/18, 34, 14, 20, 18, 2, 4
2019/10/19, 29, 12, 27, 12, 2, 4
2019/10/20, 27, 11, 28, 10, 1, 1
2019/10/21, 24, 5, 32, 5, 1, 1
2019/10/22, 10, 7, 28, 16, 2, 2
2019/10/23, 15, 12, 29, 9, , 2
2019/10/24, 29, 10, 24, 8, , 3
2019/10/25, 14, 7, 19, 18, 1, 4
2019/10/26, 7, 11, 26, 9, 1, 3
2019/10/27, 28, 11, 26, 12, 2, 3
2019/10/28, 24, 13, 19, 16, , 3
2019/10/29, 29, 19, 23, 24, 2, 6
2019/10/30, 48, 27, 27, 20, 3, 6
2019/10/31, 60, 26, 29, 26, 4, 6
2019/11/1, 61, 14, 28, 12, 3, 2
2019/11/2, 36, 20, 29, 10, 2, 3
2019/11/3, 49, 8, 30, 6, 1, 
2019/11/4, 17, 9, 25, 18, 2, 3
2019/11/5, 26, 16, 20, 28, 4, 4
2019/11/6, 39, 15, 26, 21, 2, 4
2019/11/7, 42, 9, 30, 11, 1, 2
2019/11/8, 27, 11, 29, 11, 2, 3
2019/11/9, 31, 13, 30, 12, 2, 3
2019/11/10, 37, 16, 20, 15, 1, 3
2019/11/11, 42, 10, 32, 12, 1, 4
2019/11/12, 24, 12, 21, 19, , 4
2019/11/13, 34, 11, 30, 14, 2, 3
2019/11/14, 30, 8, 20, 18, 2, 3
2019/11/15, 24, 14, 20, 29, 3, 5
2019/11/16, 40, 11, 32, 9, 1, 3
2019/11/17, 29, 13, 35, 17, 3, 4
2019/11/18, 39, 14, 28, 15, 1, 3
2019/11/19, 35, 4, 26, 6, 1, 2
2019/11/20, 5, 6, 27, 8, 1, 2
2019/11/21, 16, 12, 12, 19, 2, 3
2019/11/22, 37, 5, 23, 8, 1, 2
2019/11/23, 6, 8, 21, 12, 1, 5
2019/11/24, 16, 18, 18, 16, 1, 4
2019/11/25, 43, 7, 21, 10, 1, 2
2019/11/26, 17, 17, 13, 21, , 3
2019/11/27, 46, 11, 18, 15, , 3
2019/11/28, 27, 6, 21, 14, , 4
2019/11/29, 17, 6, 26, 13, 1, 4
2019/11/30, 12, 19, 13, 22, 2, 5
2019/12/1, 56, 34, 4, 28, 1, 6
2019/12/2, 71, 5, 26, 15, 1, 3
2019/12/3, 13, 8, 19, 21, 5, 4
2019/12/4, 25, 7, 20, 21, 1, 3
2019/12/5, 19, 7, 18, 17, 1, 3
2019/12/6, 22, 11, 18, 18, 1, 4
2019/12/7, 39, 16, 26, 14, , 3
2019/12/8, 46, 14, 19, 19, 1, 3
2019/12/9, 47, 19, 15, 23, 1, 4
2019/12/10, 55, 22, 8, 24, , 4
2019/12/11, 61, 16, 25, 18, 1, 5
2019/12/12, 48, 7, 22, 13, 1, 3
2019/12/13, 17, 18, 22, 25, 2, 4
2019/12/14, 55, 9, 28, 8, 1, 2
2019/12/15, 25, 17, 11, 29, 2, 3
2019/12/16, 52, 23, 8, 22, 1, 4
2019/12/17, 29, 16, 14, 21, , 7
2019/12/18, 16, 14, 19, 18, 1, 4
2019/12/19, 41, 16, 23, 14, , 3
2019/12/20, 41, 12, 16, 14, , 3
2019/12/21, 35, 22, 19, 14, 1, 4
2019/12/22, 62, 11, 21, 26, 3, 5
2019/12/23, 32, 5, 27, 11, 1, 4
2019/12/24, 16, 12, 21, 25, 1, 4
2019/12/25, 38, 22, 4, 31, 2, 6
2019/12/26, 67, 11, 27, 14, 1, 4
2019/12/27, 29, 4, 29, 6, 1, 3
2019/12/28, 9, 8, 26, 10, 1, 3
2019/12/29, 27, , , , , 
2019/7/1, 37, 30, 29, 20, 2, 4
2019/7/2, 53, 34, 50, 20, 3, 5
2019/7/3, 66, 7, 41, 8, 1, 1
2019/7/4, 10, 14, 39, 10, 1, 2
2019/7/5, 28, 12, 32, 7, , 1
2019/7/6, 20, 5, 27, 4, 1, 1
2019/7/7, 4, 8, 26, 6, 1, 1
2019/7/8, 13, 12, 24, 7, 1, 1
2019/7/9, 22, 9, 25, 8, 1, 1
2019/7/10, 21, 16, 24, 15, 2, 2
2019/7/11, 37, 11, 23, 15, 1, 3
2019/7/12, 20, 24, 29, 21, 3, 5
2019/7/13, 53, 11, 37, 6, 1, 2
2019/7/14, 20, 8, 21, 4, 1, 1
2019/7/15, 15, 8, 14, 10, , 1
2019/7/16, 14, 16, 33, 19, 2, 3
2019/7/17, 38, 22, 22, 18, 2, 3
2019/7/18, 43, 11, 28, 11, 1, 2
2019/7/19, 21, 30, 33, 20, 4, 3
2019/7/20, 54, 26, 22, 14, 2, 3
2019/7/21, 54, 22, 11, 12, 1, 2
2019/7/22, 43, 15, 19, 14, 1, 2
2019/7/23, 26, 15, 27, 15, 2, 2
2019/7/24, 26, 30, 34, 15, 2, 3
2019/7/25, 60, 11, 12, 9, 2, 2
2019/7/26, 23, 20, 11, 7, 1, 1
2019/7/27, 32, 44, 21, 11, 4, 2
2019/7/28, 70, 34, 25, 16, 3, 3
2019/7/29, 61, 28, 25, 15, 3, 3
2019/7/30, 58, 31, 38, 17, 3, 2
2019/7/31, 59, 39, 79, 17, 2, 2
2019/8/1, 69, 37, 66, 16, 3, 2
2019/8/2, 70, 22, 37, 17, 4, 2
2019/8/3, 45, 15, 32, 11, 3, 2
2019/8/4, 33, 11, 19, 11, 2, 1
2019/8/5, 21, 12, 14, 9, 2, 2
